CODE_UGA;LIB_UGA;color
01BEL;BELLEY;#00BFFF
01BOU;BOURG-EN-BRESSE;#00BFFF
01GEX;GEX;#00BFFF
01MIR;MIRIBEL;#00BFFF
01NAN;NANTUA;#00BFFF
01TRE;TREVOUX;#00BFFF
02CHA;CHATEAU-THIERRY;#00BFFF
02LAO;LAON;#00BFFF
02SOI;SOISSONS;#00BFFF
02SQU;SAINT-QUENTIN;#00BFFF
02VER;VERVINS;#00BFFF
03COM;COMMENTRY;#00BFFF
03GAN;GANNAT;#00BFFF
03LAP;LAPALISSE;#00BFFF
03MON;MONTLUCON;#00BFFF
03MOU;MOULINS;#00BFFF
03VIC;VICHY;#00BFFF
04DIG;DIGNE-LES-BAINS;#00BFFF
04FOR;FORCALQUIER;#00BFFF
05BRI;BRIANCON;#00BFFF
05GAP;GAP;#00BFFF
06ANT;ANTIBES;#00BFFF
06CA1;CANNES U1;#00BFFF
06CA2;CANNES U2;#00BFFF
06CAG;CAGNES-SUR-MER;#00BFFF
06CAR;CARROS;#00BFFF
06COL;COLOMARS;#00BFFF
06GRA;GRASSE;#00BFFF
06LTR;LA TRINITE;#00BFFF
06MAN;MANDELIEU-LA-NAPOULE;#00BFFF
06MEN;MENTON;#00BFFF
06MON;MONACO;#00BFFF
06NC1;NICE U1;#00BFFF
06NC2;NICE U2;#00BFFF
06NC3;NICE U3;#00BFFF
06NC4;NICE U4;#00BFFF
06NC5;NICE U5;#00BFFF
06NC6;NICE U6;#00BFFF
06NC7;NICE U7;#00BFFF
06VAL;VALLAURIS;#00BFFF
06VEN;VENCE;#00BFFF
07BOU;BOURG-SAINT-ANDEOL;#00BFFF
07LAR;LARGENTIERE;#00BFFF
07PRI;PRIVAS;#00BFFF
07TOU;TOURNON-SUR-RHONE;#00BFFF
08CHA;CHARLEVILLE-MEZIERES;#00BFFF
08RET;RETHEL;#00BFFF
08REV;REVIN;#00BFFF
08SED;SEDAN;#00BFFF
09FOI;FOIX;#00BFFF
09PAM;PAMIERS;#00BFFF
10BAR;BAR-SUR-AUBE;#00BFFF
10ROM;ROMILLY-SUR-SEINE;#00BFFF
10SJU;SAINT-JULIEN-LES-VILLAS;#00BFFF
10TRO;TROYES;#00BFFF
11CAR;CARCASSONNE;#00BFFF
11CAS;CASTELNAUDARY;#00BFFF
11LEZ;LEZIGNAN-CORBIERES;#00BFFF
11LIM;LIMOUX;#00BFFF
11NAR;NARBONNE;#00BFFF
12AUB;AUBIN;#00BFFF
12MIL;MILLAU;#00BFFF
12ROD;RODEZ;#00BFFF
12VIL;VILLEFRANCHE-DE-ROUERGUE;#00BFFF
13AIX;AIX-EN-PROVENCE;#00BFFF
13ALL;ALLAUCH;#00BFFF
13ARL;ARLES;#00BFFF
13AUB;AUBAGNE;#00BFFF
13BER;BERRE-L'ETANG;#00BFFF
13CHA;CHATEAURENARD;#00BFFF
13GAR;GARDANNE;#00BFFF
